sourceArchiveURI	reference	consumer.distinct	consumer.records
https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip	Vögler, R., A.C. Milessi and R.A. Quiñones. 2003. Trophic ecology of <i>Squatina guggenheim</i> on the continental shelf off Uruguay and northern Argentina. J. Fish Biol. 62:1254-1267.	1	48
https://github.com/globalbioticinteractions/sealifebase/archive/6e93023088855bf66ea9241fb7d2d837375afe59.zip	Barut, N.C. 1992. Estimate of food intake of yellowfin tuna (<i>Thunnus albacares</i>). Fish. Res. J. Philipps. 17(1-2):1-13.	1	1
https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip	Koga, S., H. Imanishi and S. Tawara. 1972. A fishing condition of the tuna and marlin in the central South Pacific. J. Shimonoseki Univ. Fish. 20:213-233.	1	1
https://github.com/globalbioticinteractions/raymond/archive/f46c29e304b50188f1c2f8f18470e7dd72158c55.zip	La Mesa, M., Catalano, B., and Greco, S. (2011) Larval feeding of Chionodraco hamatus (Pisces, Channichthyidae) in the Ross Sea and its relation to environmental conditions. Polar Biology 34:127-137	1	12
https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip	Plisnier, P.D., J.C. Micha and V. Frank. 1988. Biologie et exploitation des poissons du lac Ihema (bassin Akagera, Rwanda). Presses Universitaires, Namur.	1	17
https://zenodo.org/record/258222/files/millerse/Dapstrom-integrated-database-and-portal-for-fish-stomach-records-v1.0.zip	Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp. Accessed at <https://www.cefas.co.uk/umbraco/CefasPlugins/DapstomSurface/Download?searchType=predator&species=GUS&years=2011&years=2010&years=1929&years=1928&areas=VIIa&areas=VIIe&minlength=0&maxlength=1000&nullLengths=true> on 20 May 2017.	1	20
https://github.com/GoMexSI/interaction-data/archive/2fba3631b0676659c9a0d9898dcb4bfb41795b59.zip	Ernest Simmons, Joseph Breuer, Ernest Simmons, Joseph Breuer. 1962. A Study of Redfish, Sciaenops ocellata Linnaeus and Black Drum, Pogonias cromis Linnaeus	2	248
https://github.com/globalbioticinteractions/sealifebase/archive/6e93023088855bf66ea9241fb7d2d837375afe59.zip	Rochard, E. and P. Elie. 1994. La macrofaune aquatique de l'estuaire de la Gironde. Contribution au livre blanc de l'Agence de l'Eau Adour Garonne. p. 1-56. In J.-L. Mauvais and J.-F. Guillaud (eds.) État des connaissances sur l'estuaire de la Gironde. Agence de l'Eau Adour-Garonne, Éditions Bergeret, Bordeaux, France. 115 p.	1	2
https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip	Zheng, C.-Y. 1991. Gastromyzonidae. p. 261-286. In J.-H. Pan, L. Zhong, C.-Y. Zheng, H.-L. Wu and J.-H. Liu (eds). 1991. The freshwater fishes of Guangdong Province. Guangdong Science and Technology Press, Guangzhou. 589 p.	1	1
https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip	Last, J.M. 1987. The food of immature sprat [<i>Sprattus sprattus</i> (L.)] and herring (<i>Clupea harengus</i>) in coastal waters of the North Sea. J. Cons. Int. Explor. Mer. 44(1):73-79.	2	15
https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip	Burke, J.S. 1995. Role of feeding and prey distribution of summer and southern flounder in selection of estuarine nursery habitats. J. Fish Biol. 47(3):355-366.	2	21
https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip	Dredge, M.C.L. 1976. Aspects of the ecology of three estuarine dwelling fish in southeast Queensland. University of Queensland. 122 p. M.S. thesis.	1	2
